Date,Count
1/10/18,1023
2/10/18,1980
3/10/18,4945
4/10/18,8506
5/10/18,5711
6/10/18,471
7/10/18,1037
8/10/18,4995
9/10/18,6329
10/10/18,8337
11/10/18,1221
12/10/18,1324
13/10/18,196
14/10/18,239
15/10/18,5210
16/10/18,6267
17/10/18,13059
18/10/18,8121
19/10/18,5989
20/10/18,422
21/10/18,1145
22/10/18,688
23/10/18,827
24/10/18,835
25/10/18,1205
26/10/18,1701
27/10/18,232
28/10/18,291
29/10/18,4656
30/10/18,8179
31/10/18,8641
1/11/18,1316
2/11/18,2874
3/11/18,499
4/11/18,636
5/11/18,7778
6/11/18,3654
7/11/18,6947
8/11/18,1199
9/11/18,3377
10/11/18,743
11/11/18,343
12/11/18,5865
13/11/18,986
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
